xmin,ymin,xmax,ymax,class
3,1,56,54,logo
171,62,190,84,icon
211,37,233,56,icon
515,37,533,52,icon
58,2,110,28,button
112,2,166,28,button
166,2,241,29,button
242,3,342,29,button
343,3,446,29,button
446,1,499,29,button
499,2,559,28,button
611,5,628,25,icon
681,4,695,25,icon
560,2,631,28,form
631,2,699,28,form
699,1,747,27,button
747,3,797,29,button
799,1,895,28,button
10,92,159,112,form
164,91,182,113,icon
9,448,26,462,icon
31,449,46,464,icon
8,118,22,134,icon
8,134,24,152,icon
9,153,24,169,icon
8,168,24,187,icon
9,187,23,203,icon
7,218,24,237,icon
8,236,23,253,icon
8,253,25,272,icon
8,287,23,304,icon
7,305,25,322,icon
9,323,23,338,icon
9,338,25,355,icon
7,355,23,372,icon
7,371,23,388,icon
7,389,24,405,icon
6,405,23,421,icon
7,420,25,443,icon
172,432,185,446,icon
171,493,188,510,icon
83,465,109,476,icon
174,117,186,133,icon
4,86,188,470,block
3,472,188,600,block
4,58,191,600,block
197,110,214,127,icon
197,129,214,146,icon
197,148,214,165,icon
197,166,214,183,icon
197,186,214,203,icon
926,64,942,82,icon
1117,64,1135,82,icon
800,63,943,83,form
1001,64,1135,82,form
1224,64,1243,82,icon
1265,64,1280,82,icon
676,385,744,406,button
750,385,818,406,button
461,88,480,109,icon
481,89,499,109,icon
498,87,516,109,icon
517,88,534,107,icon
535,88,552,108,icon
614,89,629,107,icon
481,109,498,129,icon
498,109,517,127,icon
516,109,534,127,icon
534,109,553,127,icon
517,127,534,147,icon
535,127,553,147,icon
517,147,534,166,icon
535,147,553,167,icon
517,166,535,185,icon
535,166,553,185,icon
498,185,516,204,icon
517,185,534,204,icon
536,186,552,205,icon
861,89,878,109,icon
1226,324,1248,346,icon
1249,325,1269,348,icon
1271,324,1280,349,icon
194,87,1278,316,table
193,58,1280,319,block
1153,358,1176,379,icon
1178,359,1199,381,icon
1200,357,1226,383,icon
1235,355,1259,383,icon
1260,355,1278,384,icon
1261,386,1280,406,icon
648,386,669,404,icon
500,386,575,405,form
556,387,574,403,icon
447,388,462,404,icon
501,388,518,401,icon
372,389,388,403,icon
296,388,312,402,icon
370,387,464,405,form
252,386,314,403,form
229,387,245,403,icon
249,358,262,376,icon
320,361,333,375,icon
416,360,430,375,icon
510,361,527,375,icon
200,388,246,404,form
200,356,266,379,form
268,356,336,379,form
338,357,433,379,form
434,358,530,379,form
194,350,1278,596,chart
191,319,1280,598,block
1,1,1188,58,block
