xmin,ymin,xmax,ymax,txt
62,14,116,38,FRS
197,23,247,37,Reports
263,21,311,35,FY 2019
847,21,891,35,Suarch
972,17,1071,37,"Hello, Jennifer!"
1229,21,1251,35,23
195,92,555,131,September Reports Review
657,103,725,119,In Progress
771,103,867,117,Requcst Report
951,84,1204,125,Monthly Summary
953,131,1109,147,Due date: September; 31
1127,131,1199,149,3 days left
197,136,351,156,7 of 11 Reports Gathered
48,186,103,206,Reports
199,189,267,205,AII Reports
291,189,341,205,waiting
365,189,417,203,Rejected
443,189,499,205,Approved
953,189,1015,203,Total sum
1039,189,1089,203,Planned
45,229,103,247,Insights
199,247,237,259,Issues
332,244,383,262,Reporter
511,247,551,261,Region
789,245,845,259,Income $
975,243,1113,279,"1,946,932"
63,273,103,287,Users
208,286,301,304,Rejected Report
361,287,473,303,Makenna Botosh
511,289,615,301,Peacham Vermont
667,287,721,301,VMOAOPE
769,287,835,301,"25,179.99"
44,313,103,333,Settings
209,337,295,351,3 0f 6 Resolved
361,337,479,355,Wilson Korsgaard
511,337,599,351,Orlando; Florida
667,337,717,351,FL3AS0L
761,337,835,353,"455,157.36"
951,359,1081,375,In Comparison with
1157,357,1217,373,03 FY 2018
209,387,291,401,Tol 2 Resolved
361,385,473,403,Ashlynn Aminoff
511,386,633,404,Los Angeles California
667,387,717,401,CA9B7LA
763,385,835,401,"270,100.12"
209,437,303,451,6 of 36 Resolved
361,435,449,451,Nolan Carder
511,437,599,451,Columbus; Ohio
667,437,723,451,OH398CO
757,435,835,451,"350,143.98"
209,487,293,501,3 0f 7 Resolved
361,487,469,501,Brandon Botosh
511,487,625,501,Nashville; Tennessce
667,487,715,501,TNIIZNA
765,485,835,501,"134,170.13"
1088,486,1161,504,"1,187,145 13"
209,537,279,551,AII Resolved
361,535,463,551,Abram Stanton
511,536,638,551,Boston Massachusetts
667,537,723,551,MAT9OBO
771,535,835,551,"678,141.11"
209,585,279,599,AII Resolved
361,585,445,601,Alena Gouse
511,587,607,603,Detroil Michigan
667,587,721,601,MNIOODT
763,585,835,601,"34,040.00"
987,581,1011,595,July
1075,581,1117,595,Aupust
1159,581,1223,595,September
35,685,109,701,Need Help?
227,685,633,701,"Late for 3 Days:   Tatiana Vetrovs; Leo Arcand, Gretchen Schleifer"
771,687,863,701,Sena Reminder
973,685,1107,701,Proview Final Report
1155,685,1211,703,Approve
